Username,Fullname,Profile URL,22 may,Historial 15 May,Historial 7 May,Provincia,Localidad,Ubicación Jodify,Cantidad Eventos,Responsable
elsextorecords,EL SEXTO,https://www.instagram.com/elsextorecords,,,,Buenos Aires,CABA,CABA | GBA,2,Ramo
frere.events,Frere BA Eventos,https://www.instagram.com/frere.events,,,,Buenos Aires,CABA,CABA | GBA,3,Ramo
bendito.arg,Bendito Sonido,https://www.instagram.com/bendito.arg,,,,Buenos Aires,CABA,CABA | GBA,4,Ramo
acidlemon.prod,𝗔𝗖𝗜𝗗 𝗟𝗘𝗠𝗢𝗡 🍋,https://www.instagram.com/acidlemon.prod,No,No,no,Buenos Aires,GBA,CABA | GBA,3,Vila
gpsafter,GPS after,https://www.instagram.com/gpsafter,,,,Buenos Aires,CABA,CABA | GBA,6,Facu
frequenzcollective,FREQUENZ,https://www.instagram.com/frequenzcollective,No,No,no,Buenos Aires,CABA,CABA | GBA,3,Vila
makemefly.ok,MAKE ME FLY,https://www.instagram.com/makemefly.ok,,,,Buenos Aires,Mar del Plata,Mar del Plata,3,Facu
ccomplejoartmedia,,https://www.instagram.com/ccomplejoartmedia,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
bemadok,Mad Producciones,https://www.instagram.com/bemadok,No,No,si,Santa Fe,Santa Fe,Santa Fe | Paraná,4,Vila
999ciclo,999,https://www.instagram.com/999ciclo,,,,Buenos Aires,La Plata,La Plata,3,Facu
thisistechnobb,Ｔｈｉｓ ｉｓ ＴΞＣＨＮＯ 🇦🇷,https://www.instagram.com/thisistechnobb,,,,Buenos Aires,Bahía Blanca,Bahía Blanca,5,Facu
bower.group,BOWER,https://www.instagram.com/bower.group,,,,Buenos Aires,GBA,CABA | GBA,2,Facu
wavebassrave,WAVE | Dubstep Drum and Bass EDM Trap Fiesta buenos aires,https://www.instagram.com/wavebassrave,,,,Buenos Aires,CABA,CABA | GBA,5,Ramo
bantalent,BAN Talent,https://www.instagram.com/bantalent/,,,,Buenos Aires,CABA,CABA | GBA,6,Facu
sala.groove,SalaGroove,https://www.instagram.com/sala.groove,,,,San Juan,San Juan,San Juan,9,Ramo
beatproduccionesoficial,Beat Producciones,https://www.instagram.com/beatproduccionesoficial,,,,San Juan,San Juan,San Juan,5,Ramo
120producciones,120 Producciones,https://www.instagram.com/120producciones,,,,Buenos Aires,Interior,Interior BA,2,Facu
gravityproo,Gravity+ Producciones,https://www.instagram.com/gravityproo,No,No,no,Córdoba,Córdoba,Córdoba,2,Vila
rarest.producciones,Rarest,https://www.instagram.com/rarest.producciones,,,,Salta,Salta,Salta,3,Facu
fdmushproducciones,FIN DEL MUNDO PRODUCCIONES,https://www.instagram.com/fdmushproducciones,,,,Tierra del Fuego,Ushuaia,Tierra del Fuego,6,Ramo
nn.nonameoficial,PRODUCTORA,https://www.instagram.com/nn.nonameoficial,,,,Buenos Aires,CABA,CABA | GBA,3,Facu
salvaje.arg,Salvaje,https://www.instagram.com/salvaje.arg,No,No,no,Misiones,Posadas,Misiones,3,Vila
rotten.gruv,ROTTEN GRUV,https://www.instagram.com/rotten.gruv,,,,Buenos Aires,GBA,CABA | GBA,1,Facu
amancay.musica,Amancay,https://www.instagram.com/amancay.musica,,,,Buenos Aires,CABA,CABA | GBA,1,Ramo
feedbackundergroove,Feedback Undergroove,https://www.instagram.com/feedbackundergroove,No,No,no,Buenos Aires,CABA,CABA | GBA,2,Vila
lacasita.prod,LA CASITA 🏠,https://www.instagram.com/lacasita.prod,,,,Río Negro,Viedma,Río Negro,2,Ramo
cuatro20bar,• CUATRO VEINTE •,https://www.instagram.com/cuatro20bar,,,,Río Negro,General Roca,Río Negro,1,Ramo
andean.beats,Andean Beats,https://www.instagram.com/andean.beats,,,,Río Negro,Bariloche,Río Negro,1,Ramo
360_experiencia,Estudio 360°,https://www.instagram.com/360_experiencia,,,,Río Negro,Bariloche,Río Negro,1,Ramo
moodnightok,Mood Night,https://www.instagram.com/moodnightok,,,,Neuquén,Neuquén,Neuquén,4,Ramo
lixis.x,LIXIS,https://www.instagram.com/lixis.x,,,,Buenos Aires,La Plata,La Plata,2,Facu
la__rave,LA RAVE,https://www.instagram.com/la__rave,No,No,no,Entre Ríos,Concordia,Entre Ríos,1,Vila
t_ouch__,Touch,https://www.instagram.com/t_ouch__,,,,Buenos Aires,CABA,CABA | GBA,1,Facu
serious.techno,SERIOUS.,https://www.instagram.com/serious.techno,,,,Buenos Aires,GBA,CABA | GBA,3,Facu
maquinalatinarecords,Maquina Latina,https://www.instagram.com/maquinalatinarecords,,,,Buenos Aires,CABA,CABA | GBA,2,Ramo
